,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
138,-69.653161,44.553299,,0.0,Mixed,Citizen Survey
139,-69.639236,44.561895,,0.0,,Citizen Survey
140,-69.672021,44.552132,"Oak, Cherry, ",2.0,Mixed,Citizen Survey
141,-69.637363,44.560474,,0.0,,Citizen Survey
142,-69.655654,44.540947,,0.0,,Citizen Survey
143,-69.631943,44.559991,,0.0,,Citizen Survey
144,-69.655624,44.555693,"Apple, ",1.0,Fruiting / Flowering,Citizen Survey
145,-69.647618,44.556441,,0.0,,Citizen Survey
146,-69.656036,44.545311,,0.0,,Citizen Survey
147,-69.640557,44.561829,,0.0,,Citizen Survey
148,-69.656372,44.544976,"Apple, ",1.0,,Citizen Survey
149,-69.671433,44.521261,,0.0,,Citizen Survey
150,-69.644969,44.562835,,0.0,Ornamental,Citizen Survey
151,-69.641631,44.555881,"Oak, Apple, ",2.0,,Citizen Survey
152,-69.642145,44.539655,,0.0,,Citizen Survey
153,-69.646082,44.549005,"Oak, ",1.0,Ornamental,Citizen Survey
154,-69.635969,44.561413,,0.0,,Citizen Survey
155,-69.645345,44.540483,,0.0,Ornamental,Citizen Survey
156,-69.654741,44.554438,,0.0,,Citizen Survey
157,-69.639772,44.555104,,0.0,,Citizen Survey
158,-69.634679,44.560921,,0.0,,Citizen Survey
159,-69.673268,44.52102,,0.0,,Citizen Survey
160,-69.649965,44.544391,"Apple, ",1.0,,Citizen Survey
161,-69.64021,44.550267,,0.0,,Citizen Survey
162,-69.642826,44.563184,,0.0,,Citizen Survey
163,-69.636513,44.575513,,0.0,,Citizen Survey
164,-69.659131,44.536218,"Oak, Ash, ",2.0,Ornamental,Citizen Survey
165,-69.651375,44.554601,,0.0,,Citizen Survey
166,-69.635279,44.551276,,0.0,,Citizen Survey
167,-69.659389,44.54734,"Oak, Maple, Birch, Crabapple, Cherry, ",5.0,Mixed,Citizen Survey
168,-69.63794,44.550486,,0.0,,Citizen Survey
169,-69.64134,44.562643,,0.0,,Citizen Survey
170,-69.641268,44.556081,"Cherry, ",1.0,Fruiting / Flowering,Citizen Survey
171,-69.654447,44.547877,,0.0,,Citizen Survey
172,-69.674377,44.552834,,0.0,,Citizen Survey
173,-69.634901,44.575544,,0.0,,Citizen Survey
174,-69.652952,44.553764,"Maple, ",1.0,,Citizen Survey
175,-69.713565,44.513763,,0.0,,Citizen Survey
176,-69.628029,44.564896,,0.0,,Citizen Survey
177,-69.658623,44.535227,,0.0,Ornamental,Citizen Survey
178,-69.651814,44.548824,,0.0,,Citizen Survey
179,-69.664057,44.543793,"Apple, Crabapple, Hawthorn, ",3.0,Fruiting / Flowering,Citizen Survey
180,-69.668398,44.549403,"Oak, Maple, Ash, Birch, Crabapple, ",5.0,Mixed,Citizen Survey
181,-69.650917,44.552524,,0.0,,Citizen Survey
182,-69.635747,44.542774,,0.0,,Citizen Survey
183,-69.645608,44.548256,,0.0,,Citizen Survey
184,-69.641892,44.556073,,0.0,Ornamental,Citizen Survey
185,-69.655127,44.554616,"Oak, ",1.0,Ornamental,Citizen Survey
186,-69.641385,44.572983,,0.0,,Citizen Survey
187,-69.628631,44.529517,,0.0,,Citizen Survey
188,-69.63632,44.554893,"Cherry, ",1.0,Fruiting / Flowering,Citizen Survey
189,-69.638445,44.555269,,0.0,,Citizen Survey
190,-69.637729,44.550798,,0.0,,Citizen Survey
191,-69.655512,44.532841,"Crabapple, ",1.0,,Citizen Survey
192,-69.645482,44.557979,,0.0,,Citizen Survey
193,-69.659813,44.543642,"Oak, ",1.0,Ornamental,Citizen Survey
194,-69.630627,44.551787,"Ash, Crabapple, ",2.0,Mixed,Citizen Survey
195,-69.639593,44.555451,"Apple, ",1.0,Fruiting / Flowering,Citizen Survey
196,-69.644782,44.550975,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
197,-69.642801,44.543793,"Oak, ",1.0,Ornamental,Citizen Survey
198,-69.659022,44.545474,"Oak, Apple, ",2.0,Mixed,Citizen Survey
