,lon,lat,common_name,tree_type,entry_source
278,-69.645482,44.557979,,,Citizen Survey 2021
279,-69.659813,44.543642,Oak,Ornamental,Citizen Survey 2021
280,-69.630627,44.551787,Ash,Ornamental,Citizen Survey 2021
281,-69.630627,44.551787,Crabapple,Fruiting / Flowering,Citizen Survey 2021
282,-69.639593,44.555451,Apple,Fruiting / Flowering,Citizen Survey 2021
283,-69.644782,44.550975,Crabapple,Fruiting / Flowering,Citizen Survey 2021
284,-69.642801,44.543793,Oak,Ornamental,Citizen Survey 2021
285,-69.659022,44.545474,Oak,Ornamental,Citizen Survey 2021
286,-69.659022,44.545474,Apple,Fruiting / Flowering,Citizen Survey 2021
287,-69.714351,44.514712,Maple,Ornamental,Citizen Survey 2021
288,-69.67041,44.544561,Maple,Ornamental,Citizen Survey 2021
289,-69.67041,44.544561,Cherry,Fruiting / Flowering,Citizen Survey 2021
290,-69.658989,44.540383,Apple,Fruiting / Flowering,Citizen Survey 2021
291,-69.658989,44.540383,Cherry,Fruiting / Flowering,Citizen Survey 2021
292,-69.649152,44.548888,,,Citizen Survey 2021
293,-69.669037,44.548877,,,Citizen Survey 2021
294,-69.639072,44.563043,Crabapple,Fruiting / Flowering,Citizen Survey 2021
295,-69.636633,44.543193,Apple,Fruiting / Flowering,Citizen Survey 2021
296,-69.674516,44.550195,,,Citizen Survey 2021
297,-69.66183,44.546088,Oak,Ornamental,Citizen Survey 2021
298,-69.66183,44.546088,Birch,Ornamental,Citizen Survey 2021
299,-69.668389,44.549337,Oak,Ornamental,Citizen Survey 2021
300,-69.668389,44.549337,Ash,Ornamental,Citizen Survey 2021
301,-69.668389,44.549337,Crabapple,Fruiting / Flowering,Citizen Survey 2021
302,-69.645203,44.543581,Oak,Ornamental,Citizen Survey 2021
303,-69.645203,44.543581,Maple,Ornamental,Citizen Survey 2021
304,-69.645203,44.543581,Birch,Ornamental,Citizen Survey 2021
305,-69.645203,44.543581,Apple,Fruiting / Flowering,Citizen Survey 2021
306,-69.635651,44.557638,,,Citizen Survey 2021
307,-69.637756,44.574578,Crabapple,Fruiting / Flowering,Citizen Survey 2021
308,-69.636521,44.559506,,,Citizen Survey 2021
309,-69.668583,44.549321,Oak,Ornamental,Citizen Survey 2021
310,-69.668583,44.549321,Ash,Ornamental,Citizen Survey 2021
311,-69.668583,44.549321,Apple,Fruiting / Flowering,Citizen Survey 2021
312,-69.668583,44.549321,Crabapple,Fruiting / Flowering,Citizen Survey 2021
313,-69.633289,44.558736,,,Citizen Survey 2021
314,-69.644682,44.555094,Oak,Ornamental,Citizen Survey 2021
315,-69.632085,44.562042,,,Citizen Survey 2021
316,-69.635022,44.544349,,,Citizen Survey 2021
317,-69.664114,44.538296,,,Citizen Survey 2021
318,-69.639209,44.560075,,,Citizen Survey 2021
319,-69.657731,44.547115,,,Citizen Survey 2021
320,-69.639883,44.550849,Crabapple,Fruiting / Flowering,Citizen Survey 2021
321,-69.67736,44.510936,Crabapple,Fruiting / Flowering,Citizen Survey 2021
322,-69.641568,44.561611,,,Citizen Survey 2021
323,-69.637193,44.540885,,,Citizen Survey 2021
324,-69.635739,44.55477,,,Citizen Survey 2021
325,-69.642751,44.575248,Crabapple,Fruiting / Flowering,Citizen Survey 2021
326,-69.654463,44.5358,,,Citizen Survey 2021
327,-69.655159,44.55124,Oak,Ornamental,Citizen Survey 2021
328,-69.655159,44.55124,Maple,Ornamental,Citizen Survey 2021
329,-69.655159,44.55124,Ash,Ornamental,Citizen Survey 2021
330,-69.633816,44.559679,,,Citizen Survey 2021
331,-69.646765,44.557887,,,Citizen Survey 2021
332,-69.639117,44.540127,,,Citizen Survey 2021
333,-69.661126,44.538431,,,Citizen Survey 2021
334,-69.650274,44.581206,,,Citizen Survey 2021
335,-69.640848,44.570596,Birch,Ornamental,Citizen Survey 2021
336,-69.640848,44.570596,Apple,Fruiting / Flowering,Citizen Survey 2021
337,-69.640848,44.570596,Crabapple,Fruiting / Flowering,Citizen Survey 2021
338,-69.640848,44.570596,Serviceberry,Ornamental,Citizen Survey 2021
339,-69.656337,44.550765,Oak,Ornamental,Citizen Survey 2021
340,-69.656337,44.550765,Maple,Ornamental,Citizen Survey 2021
341,-69.644374,44.556239,,,Citizen Survey 2021
342,-69.64969,44.543475,,,Citizen Survey 2021
343,-69.657779,44.540192,Maple,Ornamental,Citizen Survey 2021
344,-69.657586,44.543767,,,Citizen Survey 2021
345,-69.655425,44.550847,,,Citizen Survey 2021
346,-69.642683,44.558175,Oak,Ornamental,Citizen Survey 2021
347,-69.63492,44.546047,,,Citizen Survey 2021
348,-69.693755,44.534766,,,Citizen Survey 2021
349,-69.63015,44.557187,Crabapple,Fruiting / Flowering,Citizen Survey 2021
350,-69.650029,44.554123,Crabapple,Fruiting / Flowering,Citizen Survey 2021
351,-69.674505,44.549777,Oak,Ornamental,Citizen Survey 2021
352,-69.642501,44.556389,Oak,Ornamental,Citizen Survey 2021
353,-69.642501,44.556389,Maple,Ornamental,Citizen Survey 2021
354,-69.638816,44.561528,Serviceberry,Ornamental,Citizen Survey 2021
355,-69.658118,44.535126,,,Citizen Survey 2021
356,-69.641362,44.559779,,,Citizen Survey 2021
357,-69.65535,44.549821,Oak,Ornamental,Citizen Survey 2021
358,-69.65535,44.549821,Maple,Ornamental,Citizen Survey 2021
359,-69.65535,44.549821,Crabapple,Fruiting / Flowering,Citizen Survey 2021
360,-69.674461,44.511651,Apple,Fruiting / Flowering,Citizen Survey 2021
361,-69.674461,44.511651,Crabapple,Fruiting / Flowering,Citizen Survey 2021
362,-69.674461,44.511651,Pear,Fruiting / Flowering,Citizen Survey 2021
363,-69.674461,44.511651,Cherry,Fruiting / Flowering,Citizen Survey 2021
364,-69.674461,44.511651,Serviceberry,Ornamental,Citizen Survey 2021
365,-69.657976,44.547677,,,Citizen Survey 2021
366,-69.65187,44.547027,,,Citizen Survey 2021
367,-69.663514,44.536972,Oak,Ornamental,Citizen Survey 2021
368,-69.663514,44.536972,Crabapple,Fruiting / Flowering,Citizen Survey 2021
369,-69.637476,44.554747,,,Citizen Survey 2021
370,-69.66986,44.52294,,,Citizen Survey 2021
371,-69.639981,44.550646,Birch,Ornamental,Citizen Survey 2021
372,-69.647368,44.542394,,,Citizen Survey 2021
373,-69.644547,44.556499,,,Citizen Survey 2021
374,-69.660478,44.540163,,,Citizen Survey 2021
375,-69.653753,44.554778,Apple,Fruiting / Flowering,Citizen Survey 2021
376,-69.637223,44.546493,,,Citizen Survey 2021
377,-69.638723,44.562249,,,Citizen Survey 2021
378,-69.672799,44.554095,Oak,Ornamental,Citizen Survey 2021
379,-69.672799,44.554095,Maple,Ornamental,Citizen Survey 2021
380,-69.672799,44.554095,Ash,Ornamental,Citizen Survey 2021
381,-69.672799,44.554095,Birch,Ornamental,Citizen Survey 2021
382,-69.672799,44.554095,Apple,Fruiting / Flowering,Citizen Survey 2021
383,-69.672799,44.554095,Pear,Fruiting / Flowering,Citizen Survey 2021
384,-69.640287,44.550955,,,Citizen Survey 2021
385,-69.627258,44.566399,,,Citizen Survey 2021
386,-69.617809,44.554321,Oak,Ornamental,Citizen Survey 2021
387,-69.617809,44.554321,Maple,Ornamental,Citizen Survey 2021
388,-69.637834,44.552364,,,Citizen Survey 2021
389,-69.658342,44.547733,Maple,Ornamental,Citizen Survey 2021
390,-69.658342,44.547733,Cherry,Fruiting / Flowering,Citizen Survey 2021
391,-69.658566,44.545823,Oak,Ornamental,Citizen Survey 2021
392,-69.658566,44.545823,Crabapple,Fruiting / Flowering,Citizen Survey 2021
393,-69.641433,44.536094,Oak,Ornamental,Citizen Survey 2021
394,-69.641433,44.536094,Crabapple,Fruiting / Flowering,Citizen Survey 2021
395,-69.641433,44.536094,Cherry,Fruiting / Flowering,Citizen Survey 2021
396,-69.657623,44.547598,Birch,Ornamental,Citizen Survey 2021
397,-69.650101,44.550958,,,Citizen Survey 2021
398,-69.652325,44.542145,Maple,Ornamental,Citizen Survey 2021
399,-69.652325,44.542145,Crabapple,Fruiting / Flowering,Citizen Survey 2021
400,-69.628121,44.564612,Apple,Fruiting / Flowering,Citizen Survey 2021
401,-69.652271,44.554187,Oak,Ornamental,Citizen Survey 2021
402,-69.652271,44.554187,Maple,Ornamental,Citizen Survey 2021
403,-69.638682,44.576297,Maple,Ornamental,Citizen Survey 2021
404,-69.638682,44.576297,Apple,Fruiting / Flowering,Citizen Survey 2021
405,-69.643165,44.56253,,,Citizen Survey 2021
406,-69.641127,44.558161,,,Citizen Survey 2021
407,-69.64557,44.551078,Crabapple,Fruiting / Flowering,Citizen Survey 2021
408,-69.645423,44.556049,Crabapple,Fruiting / Flowering,Citizen Survey 2021
409,-69.651458,44.583999,Ash,Ornamental,Citizen Survey 2021
410,-69.651458,44.583999,Apple,Fruiting / Flowering,Citizen Survey 2021
411,-69.651458,44.583999,Crabapple,Fruiting / Flowering,Citizen Survey 2021
412,-69.651458,44.583999,Pear,Fruiting / Flowering,Citizen Survey 2021
413,-69.660137,44.537833,Oak,Ornamental,Citizen Survey 2021
414,-69.660137,44.537833,Maple,Ornamental,Citizen Survey 2021
415,-69.660137,44.537833,Birch,Ornamental,Citizen Survey 2021
416,-69.635415,44.57528,Birch,Ornamental,Citizen Survey 2021
