,lon,lat,name,common_name,tree_type,obs_btm,dbh1,condition,entry_source
216,-69.65390694,44.57700029,Oak-Northern Red ,Oak,Ornamental,5,18.00 ,Good ,Bartlett 2022
217,-69.65398649,44.57673496,Oak-Northern Red ,Oak,Ornamental,8,15.00 ,Good ,Bartlett 2022
218,-69.65385398,44.57666694,Oak-Northern Red ,Oak,Ornamental,4,14.00 ,Good ,Bartlett 2022
219,-69.65354452,44.57555354,Oak-Northern Red ,Oak,Ornamental,3,9.00 ,Good ,Bartlett 2022
220,-69.6537537,44.57543145,Oak-Northern Red ,Oak,Ornamental,3,12.00 ,Good ,Bartlett 2022
221,-69.65361384,44.57527958,Oak-Northern Red ,Oak,Ornamental,6,20.00 ,Good ,Bartlett 2022
222,-69.6535103,44.57523733,Oak-Northern Red ,Oak,Ornamental,5,45.00 ,Good ,Bartlett 2022
223,-69.65363016,44.57494528,Oak-Northern Red ,Oak,Ornamental,1,18.00 ,Good ,Bartlett 2022
224,-69.65358902,44.5748254,Oak-Northern Red ,Oak,Ornamental,2,8.00 ,Good ,Bartlett 2022
225,-69.65362011,44.57438173,Oak-Northern Red ,Oak,Ornamental,2,15.00 ,Good ,Bartlett 2022
226,-69.65268838,44.57385,Oak-Northern Red ,Oak,Ornamental,5,16.00 ,Good ,Bartlett 2022
227,-69.65276345,44.57383355,Oak-Northern Red ,Oak,Ornamental,3,21.00 ,Good ,Bartlett 2022
228,-69.65283785,44.57369164,Oak-Northern Red ,Oak,Ornamental,8,10.00 ,Good ,Bartlett 2022
229,-69.65277835,44.57363504,Oak-Northern Red ,Oak,Ornamental,3,21.00 ,Good ,Bartlett 2022
230,-69.65271829,44.57359752,Oak-Northern Red ,Oak,Ornamental,5,18.00 ,Good ,Bartlett 2022
231,-69.65248342,44.57345373,Oak-Northern Red ,Oak,Ornamental,4,14.00 ,Good ,Bartlett 2022
232,-69.65224295,44.57332253,Oak-Northern Red ,Oak,Ornamental,6,16.00 ,Good ,Bartlett 2022
233,-69.65216814,44.57338042,Oak-Northern Red ,Oak,Ornamental,8,20.00 ,Good ,Bartlett 2022
234,-69.65221147,44.57353806,Oak-Northern Red ,Oak,Ornamental,6,12.00 ,Good ,Bartlett 2022
235,-69.65219342,44.57366319,Oak-Northern Red ,Oak,Ornamental,12,19.00 ,Good ,Bartlett 2022
236,-69.65231749,44.57411748,Oak-Northern Red ,Oak,Ornamental,7,22.00 ,Good ,Bartlett 2022
237,-69.65240498,44.57415717,Birch-Paper ,Birch,Ornamental,4,10.00 ,Good ,Bartlett 2022
238,-69.65265167,44.57433162,Oak-Northern Red ,Oak,Ornamental,8,12.00 ,Good ,Bartlett 2022
239,-69.65272635,44.57426902,Oak-Northern Red ,Oak,Ornamental,10,14.00 ,Good ,Bartlett 2022
240,-69.65292274,44.57427702,Oak-Northern Red ,Oak,Ornamental,8,13.00 ,Good ,Bartlett 2022
241,-69.65306842,44.5742821,Oak-Northern Red ,Oak,Ornamental,4,16.00 ,Good ,Bartlett 2022
242,-69.65315009,44.57436798,Oak-Northern Red ,Oak,Ornamental,4,12.00 ,Good ,Bartlett 2022
243,-69.65313765,44.57442936,Oak-Northern Red ,Oak,Ornamental,3,14.00 ,Good ,Bartlett 2022
244,-69.6531726,44.5744871,Oak-Northern Red ,Oak,Ornamental,5,25.00 ,Good ,Bartlett 2022
245,-69.65326222,44.57472692,Oak-Northern Red ,Oak,Ornamental,3,13.00 ,Good ,Bartlett 2022
246,-69.65309682,44.57475035,Oak-Northern Red ,Oak,Ornamental,3,8.00 ,Good ,Bartlett 2022
247,-69.65301988,44.57477665,Oak-Northern Red ,Oak,Ornamental,7,15.00 ,Good ,Bartlett 2022
248,-69.65301957,44.57483491,Oak-Northern Red ,Oak,Ornamental,10,13.00 ,Good ,Bartlett 2022
249,-69.65294622,44.57481909,Oak-Northern Red ,Oak,Ornamental,8,13.00 ,Good ,Bartlett 2022
250,-69.6528389,44.57476737,Oak-Northern Red ,Oak,Ornamental,10,14.00 ,Good ,Bartlett 2022
251,-69.65280835,44.57479554,Oak-Northern Red ,Oak,Ornamental,12,14.00 ,Good ,Bartlett 2022
252,-69.65276885,44.57489257,Oak-Northern Red ,Oak,Ornamental,4,9.00 ,Good ,Bartlett 2022
253,-69.65317386,44.57551142,Oak-Northern Red ,Oak,Ornamental,10,15.00 ,Good ,Bartlett 2022
254,-69.65314205,44.57564946,Oak-Northern Red ,Oak,Ornamental,9,29.00 ,Good ,Bartlett 2022
255,-69.65414517,44.57797763,Maple-Red ,Maple,Ornamental,2,22.00 ,Good ,Bartlett 2022
256,-69.65425164,44.57801808,Oak-Northern Red ,Oak,Ornamental,3,15.00 ,Good ,Bartlett 2022
257,-69.65440017,44.57833581,Oak-Northern Red ,Oak,Ornamental,3,17.00 ,Good ,Bartlett 2022
258,-69.65465424,44.57854165,Oak-Northern Red ,Oak,Ornamental,3,10.00 ,Good ,Bartlett 2022
259,-69.65495377,44.57939696,Oak-Northern Red ,Oak,Ornamental,3,11.00 ,Good ,Bartlett 2022
260,-69.65498867,44.57945857,Oak-Northern Red ,Oak,Ornamental,4,12.00 ,Good ,Bartlett 2022
261,-69.6554155,44.57994669,Oak-Northern Red ,Oak,Ornamental,3,13.00 ,Good ,Bartlett 2022
262,-69.65548308,44.58001308,Oak-Northern Red ,Oak,Ornamental,4,11.00 ,Good ,Bartlett 2022
263,-69.65539802,44.58017696,Oak-Northern Red ,Oak,Ornamental,4,16.00 ,Good ,Bartlett 2022
264,-69.65586259,44.58147705,Oak-Northern Red ,Oak,Ornamental,6,18.00 ,Good ,Bartlett 2022
265,-69.65583946,44.58151305,Oak-Northern Red ,Oak,Ornamental,3,23.00 ,Good ,Bartlett 2022
266,-69.65615515,44.58292312,Oak-Northern Red ,Oak,Ornamental,12,13.00 ,Good ,Bartlett 2022
267,-69.65653517,44.58267212,Poplar-Bigtooth Aspen ,Poplar,Ornamental,3,18.00 ,Good ,Bartlett 2022
268,-69.65670027,44.58264198,Oak-Northern Red ,Oak,Ornamental,3,15.00 ,Good ,Bartlett 2022
269,-69.65713183,44.58248466,Cherry-Black ,Cherry,Fruiting / Flowering,4,7.00 ,Good ,Bartlett 2022
270,-69.65721479,44.58258096,Oak-Northern Red ,Oak,Ornamental,2,8.00 ,Good ,Bartlett 2022
271,-69.65701639,44.58319774,Oak-Northern Red ,Oak,Ornamental,20,33.00 ,Good ,Bartlett 2022
272,-69.65720487,44.58353746,Oak-Northern Red ,Oak,Ornamental,10,11.00 ,Good ,Bartlett 2022
273,-69.65887005,44.58390059,Poplar-Bigtooth Aspen ,Poplar,Ornamental,5,12.00 ,Good ,Bartlett 2022
274,-69.64753914,44.56320213,Crabapple ,Crabapple,Fruiting / Flowering,2,8.00 ,Good ,Bartlett 2022
275,-69.6477002,44.56368257,Elm-American ,Elm,Ornamental,2,8.00 ,Good ,Bartlett 2022
276,-69.64647726,44.5616776,Oak-Northern Red ,Oak,Ornamental,5,13.00 ,Good ,Bartlett 2022
277,-69.64635181,44.56144719,Oak-Northern Red ,Oak,Ornamental,8,16.00 ,Good ,Bartlett 2022
278,-69.646307,44.5614173,Oak-Northern Red ,Oak,Ornamental,3,7.00 ,Good ,Bartlett 2022
279,-69.65230184,44.57393398,Oak-Northern Red ,Oak,Ornamental,3,13.00 ,Good ,Bartlett 2022
280,-69.63334771,44.54527325,Maple-Norway ,Maple,Ornamental,8,24.00 ,Good ,Bartlett 2022
281,-69.64425636,44.5335615,Oak-Northern Red ,Oak,Ornamental,3,13.00 ,Good ,Bartlett 2022
282,-69.64421552,44.53344515,Maple-Red ,Maple,Ornamental,1,10.00 ,Good ,Bartlett 2022
283,-69.6441758,44.53332377,Maple-Silver ,Maple,Ornamental,1,17.00 ,Good ,Bartlett 2022
284,-69.64399284,44.53326691,Maple-Red ,Maple,Ornamental,10,8.00 ,Good ,Bartlett 2022
285,-69.6438059,44.53333443,Maple-Red ,Maple,Ornamental,4,9.00 ,Good ,Bartlett 2022
286,-69.64385816,44.53352878,Oak-Northern Red ,Oak,Ornamental,12,15.00 ,Good ,Bartlett 2022
287,-69.64394009,44.53359419,Oak-Northern Red ,Oak,Ornamental,6,10.00 ,Good ,Bartlett 2022
288,-69.64390845,44.53378043,Cherry-Black ,Cherry,Fruiting / Flowering,40,13.00 ,Good ,Bartlett 2022
