,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
203,-69.656636,44.532596,Oak,2.0,Ornamental,Citizen Survey
204,-69.656636,44.532596,Maple,2.0,Ornamental,Citizen Survey
205,-69.638006,44.560578,,0.0,,Citizen Survey
206,-69.645117,44.553404,,0.0,,Citizen Survey
207,-69.654103,44.555869,,0.0,,Citizen Survey
208,-69.63323,44.562549,,0.0,,Citizen Survey
209,-69.675013,44.548491,Apple,2.0,Fruiting / Flowering,Citizen Survey
210,-69.675013,44.548491,Pear,2.0,Fruiting / Flowering,Citizen Survey
211,-69.653161,44.553299,,0.0,,Citizen Survey
212,-69.639236,44.561895,,0.0,,Citizen Survey
213,-69.672021,44.552132,Oak,2.0,Ornamental,Citizen Survey
214,-69.672021,44.552132,Cherry,2.0,Fruiting / Flowering,Citizen Survey
215,-69.637363,44.560474,,0.0,,Citizen Survey
216,-69.655654,44.540947,,0.0,,Citizen Survey
217,-69.631943,44.559991,,0.0,,Citizen Survey
218,-69.655624,44.555693,Apple,1.0,Fruiting / Flowering,Citizen Survey
219,-69.647618,44.556441,,0.0,,Citizen Survey
220,-69.656036,44.545311,,0.0,,Citizen Survey
221,-69.640557,44.561829,,0.0,,Citizen Survey
222,-69.656372,44.544976,Apple,1.0,Fruiting / Flowering,Citizen Survey
223,-69.671433,44.521261,,0.0,,Citizen Survey
224,-69.644969,44.562835,,0.0,,Citizen Survey
225,-69.641631,44.555881,Oak,2.0,Ornamental,Citizen Survey
226,-69.641631,44.555881,Apple,2.0,Fruiting / Flowering,Citizen Survey
227,-69.642145,44.539655,,0.0,,Citizen Survey
228,-69.646082,44.549005,Oak,1.0,Ornamental,Citizen Survey
229,-69.635969,44.561413,,0.0,,Citizen Survey
230,-69.645345,44.540483,,0.0,,Citizen Survey
231,-69.654741,44.554438,,0.0,,Citizen Survey
232,-69.639772,44.555104,,0.0,,Citizen Survey
233,-69.634679,44.560921,,0.0,,Citizen Survey
234,-69.673268,44.52102,,0.0,,Citizen Survey
235,-69.649965,44.544391,Apple,1.0,Fruiting / Flowering,Citizen Survey
236,-69.64021,44.550267,,0.0,,Citizen Survey
237,-69.642826,44.563184,,0.0,,Citizen Survey
238,-69.636513,44.575513,,0.0,,Citizen Survey
239,-69.659131,44.536218,Oak,2.0,Ornamental,Citizen Survey
