,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
203,-69.62722403,44.55123127,Birch,Good ,2,Ornamental,Bartlett
204,-69.66265294,44.52884177,Cherry,Good ,2,Fruiting / Flowering,Bartlett
205,-69.66227158,44.52868892,Cherry,Fair ,2,Fruiting / Flowering,Bartlett
206,-69.66119577,44.5274077,Cherry,Poor ,2,Fruiting / Flowering,Bartlett
207,-69.66226028,44.52868306,Cherry,Fair ,2,Fruiting / Flowering,Bartlett
208,-69.66054024,44.53417572,Crabapple,Fair ,2,Fruiting / Flowering,Bartlett
209,-69.62746248,44.55081672,Crabapple,Good ,2,Fruiting / Flowering,Bartlett
210,-69.63363084,44.55084216,Elm,Good ,2,Ornamental,Bartlett
211,-69.63375148,44.55085845,Elm,Good ,2,Ornamental,Bartlett
212,-69.6427559,44.53467235,Elm,Poor ,2,Ornamental,Bartlett
213,-69.62918076,44.54953646,Linden,Good ,2,Fruiting / Flowering,Bartlett
214,-69.62833024,44.55019436,Maple,Poor ,2,Ornamental,Bartlett
215,-69.64368957,44.53447074,Maple,Fair ,2,Ornamental,Bartlett
216,-69.63054984,44.56715868,Maple,Good ,2,Ornamental,Bartlett
217,-69.63026018,44.56711401,Maple,Good ,2,Ornamental,Bartlett
218,-69.65886908,44.53409077,Maple,Fair ,2,Ornamental,Bartlett
219,-69.66046955,44.53369862,Maple,Good ,2,Ornamental,Bartlett
220,-69.62819122,44.55231878,Maple,Fair ,2,Ornamental,Bartlett
221,-69.62817355,44.55267313,Maple,Good ,2,Ornamental,Bartlett
222,-69.62820363,44.55232415,Maple,Good ,2,Ornamental,Bartlett
223,-69.62818192,44.55213462,Maple,Good ,2,Ornamental,Bartlett
224,-69.62822573,44.55196625,Maple,Poor ,2,Ornamental,Bartlett
225,-69.62822185,44.55153132,Maple,Good ,2,Ornamental,Bartlett
226,-69.66043364,44.53360227,Maple,Good ,2,Ornamental,Bartlett
227,-69.6281979,44.55212828,Maple,Good ,2,Ornamental,Bartlett
228,-69.64617043,44.56322208,Maple,Good ,2,Ornamental,Bartlett
229,-69.62817362,44.55274113,Maple,Good ,2,Ornamental,Bartlett
230,-69.64633235,44.56335366,Maple,Good ,2,Ornamental,Bartlett
231,-69.64320039,44.53460532,Maple,Good ,2,Ornamental,Bartlett
232,-69.64270538,44.53475359,Maple,Fair ,2,Ornamental,Bartlett
233,-69.64356065,44.53453711,Maple,Good ,2,Ornamental,Bartlett
234,-69.66145628,44.5296817,Maple,Good ,2,Ornamental,Bartlett
235,-69.6551006,44.58026169,Maple,Good ,2,Ornamental,Bartlett
236,-69.65919484,44.53417385,Maple,Fair ,2,Ornamental,Bartlett
